3218.19 23.110 -0.870 -0.098 -0.031 -1.7909 0.357
3208.97 23.110 -0.870 -0.098 -0.031 -1.7909 0.041
3244.10 23.110 -0.870 -0.098 -0.031 -1.7909 0.245
3154.80 23.110 -0.870 -0.098 -0.031 -1.7909 0.002
3188.74 23.110 -0.870 -0.098 -0.031 -1.7909 0.052
3214.33 23.110 -0.870 -0.098 -0.031 -1.7909 0.160
3173.57 23.110 -0.870 -0.098 -0.031 -1.7909 0.003
3198.92 23.110 -0.870 -0.098 -0.031 -1.7909 0.040
3213.74 23.110 -0.870 -0.098 -0.031 -1.7909 0.100
3034.46 13.356 -0.876 -0.095 -0.026 -1.7553 0.400
3027.02 13.356 -0.876 -0.095 -0.026 -1.7553 0.090
3047.56 13.356 -0.876 -0.095 -0.026 -1.7553 0.210
3017.31 13.356 -0.876 -0.095 -0.026 -1.7553 0.010
3037.72 13.356 -0.876 -0.095 -0.026 -1.7553 0.107
3054.68 13.356 -0.876 -0.095 -0.026 -1.7553 0.083
3028.70 13.356 -0.876 -0.095 -0.026 -1.7553 0.017
3045.56 13.356 -0.876 -0.095 -0.026 -1.7553 0.083
3367.22 11.582 -0.868 -0.101 -0.030 -1.7878 0.571
3330.73 11.582 -0.868 -0.101 -0.030 -1.7878 0.029
3388.42 11.582 -0.868 -0.101 -0.030 -1.7878 0.400
3334.84 34.717 -0.893 -0.077 -0.027 -1.7630 0.400
3297.73 34.717 -0.893 -0.077 -0.027 -1.7630 0.090
3355.02 34.717 -0.893 -0.077 -0.027 -1.7630 0.210
3270.80 34.717 -0.893 -0.077 -0.027 -1.7630 0.010
3327.15 34.717 -0.893 -0.077 -0.027 -1.7630 0.107
3360.60 34.717 -0.893 -0.077 -0.027 -1.7630 0.083
3311.27 34.717 -0.893 -0.077 -0.027 -1.7630 0.017
3344.40 34.717 -0.893 -0.077 -0.027 -1.7630 0.083
3694.21 21.883 -0.898 -0.074 -0.024 -1.7205 0.350
3766.26 21.883 -0.898 -0.074 -0.024 -1.7205 0.150
3664.07 21.883 -0.898 -0.074 -0.024 -1.7205 0.150
3734.94 21.883 -0.898 -0.074 -0.024 -1.7205 0.044
3777.14 21.883 -0.898 -0.074 -0.024 -1.7205 0.139
3709.62 21.883 -0.898 -0.074 -0.024 -1.7205 0.139
3751.25 21.883 -0.898 -0.074 -0.024 -1.7205 0.028
3713.08 17.419 -0.885 -0.085 -0.026 -1.7555 0.600
3643.93 17.419 -0.885 -0.085 -0.026 -1.7555 0.067
3727.11 17.419 -0.885 -0.085 -0.026 -1.7555 0.333
