%  K.P. Dere and P.R. Young - Mar 2006
  0  0   6.84e-01
  0  0   6.62e-01
  0  0   6.06e-01
  0  0   5.29e-01
  0  0   4.50e-01
  0  0   3.83e-01
  0  0   3.33e-01
  0  0   2.99e-01
  0  0   2.76e-01
  0  0   2.61e-01
  3  4   9.60e-01
  0  0   9.61e-01
  0  0   9.63e-01
  0  0   9.65e-01
  0  0   9.69e-01
  0  0   9.74e-01
  0  0   9.83e-01
  0  0   9.97e-01
  0  0   1.02e+00
  0  0   1.05e+00
  0  0   1.09e+00
  0  0   1.14e+00
  0  0   1.19e+00
  0  0   1.22e+00
  0  0   1.23e+00
  0  0   1.19e+00
  0  0   1.09e+00
  0  0   9.39e-01
  0  0   7.92e-01
  0  0   6.74e-01
  0  0   5.89e-01
  0  0   5.31e-01
  0  0   4.93e-01
  3  5   5.53e-01
  0  0   5.53e-01
  0  0   5.55e-01
  0  0   5.57e-01
  0  0   5.60e-01
  0  0   5.64e-01
  0  0   5.72e-01
  0  0   5.83e-01
  0  0   6.00e-01
  0  0   6.26e-01
  0  0   6.63e-01
  0  0   7.12e-01
  0  0   7.67e-01
  0  0   8.15e-01
  0  0   8.36e-01
  0  0   8.13e-01
  0  0   7.46e-01
  0  0   6.51e-01
  0  0   5.53e-01
  0  0   4.73e-01
  0  0   4.14e-01
  0  0   3.73e-01
  0  0   3.46e-01
  4  5   1.85e+00
  0  0   1.85e+00
  0  0   1.85e+00
  0  0   1.86e+00
  0  0   1.86e+00
  0  0   1.87e+00
  0  0   1.89e+00
  0  0   1.91e+00
  0  0   1.94e+00
  0  0   1.99e+00
  0  0   2.06e+00
  0  0   2.16e+00
  0  0   2.27e+00
  0  0   2.36e+00
  0  0   2.40e+00
  0  0   2.33e+00
  0  0   2.12e+00
  0  0   1.84e+00
  0  0   1.57e+00
  0  0   1.36e+00
  0  0   1.21e+00
  0  0   1.11e+00
  0  0   1.04e+00
 0 0 0
  1  2   5.310e-04
  1  3   1.474e+03
  1  4   3.747e+01
  1  5   0.000e+00
  2  3   1.448e+03
  2  4   2.895e+02
  2  5   1.163e+03
  3  4   0.000e+00
  3  5   0.000e+00
  4  5   0.000e+00
  1  2        0.0
  2  4      385.9
  3  2    71439.8
  4  4    71570.1
  5  6    71755.5
