5000	1	-25.37954	-25.05897	-25.94844	-24.65182	-25.63766	-25.27103	-26.47802	-25.84331	-26.83337	-24.93382	-26.05328	-25.49808	-25.22844	-26.44817	-24.45526	-24.99784	-25.37430	-25.87764	-26.63685	-24.31124	-27.04632	-26.26733	-26.55348	-27.97048	-25.68883	-26.16622	-27.18401	-26.74110	-27.09310	-27.51482	-26.91208	-26.08431	-27.67811	-25.28968	-25.76754	-26.53255	-26.78774	-27.71811	-25.13088	-27.36806	-26.86958	-27.23860	-26.77585	-27.25261
6000	1	-25.42802	-25.10838	-26.00163	-24.70442	-25.69146	-25.33785	-26.51298	-25.91101	-26.87452	-25.00472	-26.09126	-25.56994	-25.28502	-26.49081	-24.53681	-25.08020	-25.41830	-25.92349	-26.68533	-24.37434	-27.09950	-26.33416	-26.60289	-28.02366	-25.77462	-26.25202	-27.21897	-26.80880	-27.14159	-27.55596	-26.96588	-26.15521	-27.73191	-25.38358	-25.86140	-26.60441	-26.83715	-27.76644	-25.19812	-27.43242	-26.90756	-27.28124	-26.85544	-27.33224
7000	1	-25.46983	-25.15095	-26.04773	-24.74964	-25.73806	-25.39605	-26.54221	-25.97001	-26.90937	-25.06625	-26.12313	-25.63234	-25.33391	-26.52696	-24.60699	-25.15114	-25.45547	-25.96251	-26.72714	-24.42765	-27.14560	-26.39236	-26.64546	-28.06976	-25.84896	-26.32637	-27.24820	-26.86780	-27.18340	-27.59082	-27.01248	-26.21674	-27.77851	-25.46437	-25.94213	-26.66681	-26.87971	-27.80814	-25.25575	-27.48859	-26.93943	-27.31739	-26.92480	-27.40163
8000	1	-25.50671	-25.18845	-26.08856	-24.78939	-25.77930	-25.44776	-26.56730	-26.02247	-26.93961	-25.12075	-26.15054	-25.68765	-25.37709	-26.55835	-24.66871	-25.21356	-25.48762	-25.99648	-26.76402	-24.47401	-27.18643	-26.44406	-26.68296	-28.11059	-25.91468	-26.39208	-27.27329	-26.92026	-27.22028	-27.62105	-27.05372	-26.27124	-27.81975	-25.53535	-26.01306	-26.72212	-26.91721	-27.84494	-25.30624	-27.53860	-26.96684	-27.34879	-26.98642	-27.46324
9000	1	-25.53977	-25.22204	-26.12529	-24.82492	-25.81638	-25.49438	-26.58927	-26.06978	-26.96633	-25.16975	-26.17458	-25.73741	-25.41582	-26.58611	-24.72385	-25.26936	-25.51592	-26.02659	-26.79708	-24.51505	-27.22317	-26.49068	-26.71655	-28.14732	-25.97365	-26.45102	-27.29526	-26.96757	-27.25334	-27.64778	-27.09080	-26.32024	-27.85682	-25.59872	-26.07634	-26.77188	-26.95080	-27.87795	-25.35124	-27.58376	-26.99088	-27.37655	-27.04193	-27.51874
10000	1	-25.56980	-25.25251	-26.15874	-24.85709	-25.85012	-25.53689	-26.60879	-26.11294	-26.99028	-25.21432	-26.19597	-25.78269	-25.45099	-26.61100	-24.77372	-25.31984	-25.54121	-26.05363	-26.82711	-24.55193	-27.25662	-26.53320	-26.74702	-28.18077	-26.02717	-26.50451	-27.31478	-27.01073	-27.28336	-27.67173	-27.12454	-26.36481	-27.89057	-25.65597	-26.13347	-26.81715	-26.98127	-27.90794	-25.39185	-27.62502	-27.01227	-27.40143	-27.09250	-27.56927
11000	1	-25.59734	-25.28044	-26.18950	-24.88650	-25.88114	-25.57601	-26.62637	-26.15267	-27.01198	-25.25524	-26.21524	-25.82427	-25.48326	-26.63357	-24.81925	-25.36597	-25.56406	-26.07819	-26.85465	-24.58509	-27.28738	-26.57231	-26.77495	-28.21154	-26.07621	-26.55350	-27.33236	-27.05046	-27.31090	-27.69343	-27.15556	-26.40573	-27.92159	-25.70820	-26.18556	-26.85874	-27.00920	-27.93546	-25.42891	-27.66304	-27.03154	-27.42401	-27.13898	-27.61568
12000	1	-25.62281	-25.30624	-26.21800	-24.91362	-25.90987	-25.61227	-26.64235	-26.18951	-27.03184	-25.29309	-26.23276	-25.86276	-25.51309	-26.65422	-24.86117	-25.40844	-25.58490	-26.10070	-26.88012	-24.61547	-27.31588	-26.60858	-26.80075	-28.24004	-26.12147	-26.59869	-27.34834	-27.08730	-27.33637	-27.71329	-27.18429	-26.44358	-27.95031	-25.75623	-26.23340	-26.89723	-27.03500	-27.96092	-25.46298	-27.69833	-27.04906	-27.44465	-27.18200	-27.65862
13000	1	-25.64652	-25.33025	-26.24459	-24.93881	-25.93664	-25.64610	-26.65700	-26.22389	-27.05014	-25.32834	-26.24884	-25.89860	-25.54085	-26.67326	-24.90002	-25.44782	-25.60407	-26.12148	-26.90383	-24.64352	-27.34247	-26.64240	-26.82476	-28.26662	-26.16351	-26.64066	-27.36299	-27.12168	-27.36009	-27.73159	-27.21106	-26.47882	-27.97708	-25.80069	-26.27765	-26.93307	-27.05901	-27.98463	-25.49455	-27.73129	-27.06514	-27.46369	-27.22206	-27.69858
14000	1	-25.66873	-25.35271	-26.26952	-24.96233	-25.96173	-25.67780	-26.67053	-26.25612	-27.06712	-25.36131	-26.26369	-25.93215	-25.56683	-26.69094	-24.93622	-25.48452	-25.62183	-26.14079	-26.92604	-24.66959	-27.36739	-26.67411	-26.84722	-28.29155	-26.20277	-26.67983	-27.37652	-27.15391	-27.38229	-27.74857	-27.23615	-26.51180	-28.00218	-25.84208	-26.31877	-26.96662	-27.08147	-28.00684	-25.52394	-27.76222	-27.07999	-27.48137	-27.25957	-27.73596
