 5000.0 4         0.00000       -25.05458         0.00000       -24.65781       -25.64068       -25.27431         0.00000       -25.84930         0.00000       -24.92849       -26.05342       -25.49873       -25.23300         0.00000       -24.45837       -25.00060       -25.37704       -25.87541         0.00000       -23.81121         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000       -25.04767         0.00000         0.00000         0.00000         0.00000         0.00000
10000.0 4         0.00000       -25.24983         0.00000       -24.86461       -25.85666       -25.54239         0.00000       -26.12087         0.00000       -25.21077       -26.19793       -25.78589       -25.45719         0.00000       -24.77700       -25.32315       -25.54707       -26.05241         0.00000       -23.63008         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000       -25.16078         0.00000         0.00000         0.00000         0.00000         0.00000
20000.0 4         0.00000       -25.46204         0.00000       -25.08705       -26.09298       -25.84240         0.00000       -26.42582         0.00000       -25.52273       -26.33804       -26.10278       -25.70385         0.00000       -25.11893       -25.67025       -25.71723       -26.23718         0.00000       -23.56431         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000       -25.30525         0.00000         0.00000         0.00000         0.00000         0.00000
  312.5 6         0.00000       -24.13471         0.00000       -23.70417       -24.67743       -24.20450         0.00000       -24.77123         0.00000       -23.82045       -25.18698       -24.38270       -24.24296         0.00000       -23.25744       -23.79188       -24.47803       -24.96919         0.00000       -23.23117         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000       -24.01973         0.00000         0.00000         0.00000         0.00000         0.00000
  625.0 6         0.00000       -24.41223         0.00000       -23.98437       -24.96351       -24.50370         0.00000       -25.07180         0.00000       -24.12488       -25.46212       -24.68872       -24.53049         0.00000       -23.57686       -24.11458       -24.75566       -25.24407         0.00000       -23.53908         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000       -24.33179         0.00000         0.00000         0.00000         0.00000         0.00000
 1250.0 6         0.00000       -24.64148         0.00000       -24.22074       -25.19963       -24.76233         0.00000       -25.33206         0.00000       -24.39276       -25.69379       -24.95819       -24.77262         0.00000       -23.86590       -24.40420       -24.98283       -25.47368         0.00000       -23.78702         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000       -24.60459         0.00000         0.00000         0.00000         0.00000         0.00000
 2500.0 6         0.00000       -24.84185         0.00000       -24.43565       -25.41404       -25.00962         0.00000       -25.58020         0.00000       -24.65208       -25.88123       -25.21912       -24.99695         0.00000       -24.15640       -24.69688       -25.18226       -25.67436         0.00000       -23.77807         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000       -24.83386         0.00000         0.00000         0.00000         0.00000         0.00000
 5000.0 6         0.00000       -25.04100         0.00000       -24.64455       -25.62784       -25.26400         0.00000       -25.83731         0.00000       -24.92010       -26.04503       -25.49034       -25.21939         0.00000       -24.45860       -25.00102       -25.36743       -25.86319         0.00000       -23.61025         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000       -24.97168         0.00000         0.00000         0.00000         0.00000         0.00000
10000.0 6         0.00000       -25.24269         0.00000       -24.85803       -25.84805       -25.53857         0.00000       -26.11447         0.00000       -25.20789       -26.19929       -25.78301       -25.45049         0.00000       -24.77878       -25.32480       -25.54419       -26.04953         0.00000       -23.49448         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000       -25.06864         0.00000         0.00000         0.00000         0.00000         0.00000
20000.0 6         0.00000       -25.45810         0.00000       -25.08384       -26.09007       -25.84019         0.00000       -26.42452         0.00000       -25.52143       -26.33959       -26.10148       -25.70058         0.00000       -25.12021       -25.67140       -25.71729       -26.23813         0.00000       -23.45288         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000       -25.20087         0.00000         0.00000         0.00000         0.00000         0.00000
