#Extragalactic HII region
#from Bresolin et al., 2005, A&A, 441, 981
3727.00 111.00   9.00
4101.74  25.00   1.00
4340.47  46.00   2.00
4471.50   2.90   0.30
4958.91   6.00   1.00
5006.84  19.00   1.00
5200.00   1.28   0.24
4861.33 100.00   2.00
